CNES,CO_INE,CO_CBO,MICROAREA
0028657,,516220,
0029106,0000154660,515105,
0134252,,411010,
2319160,,422210,
0026379,0000154377,515105,
0028363,,516220,
0029106,0000154660,515105,
0265500,,411010,
0026387,,411010,
0026387,,515105,
0028673,,515140,
0407070,,411010,
2319160,,422330,
0026387,0000154385,515105,
0028363,,516220,
0028673,0000154571,515105,
0265500,,515110,
0407070,,422105,
2319160,,422210,
2319160,,422210,
0026387,0000154393,515105,
0028363,,516220,
0028363,,516220,
0028363,,516220,
0265500,,324205,
0028045,,515140,
0028045,0000154415,515105,
0028045,0000154415,515105,
0028649,,411010,
0029122,,515105,
0028045,0000154423,515105,
0028932,,782320,
6946283,,422205,
0265500,,411010,
0215589,0000152722,515105,
0265500,,422105,
0028053,0000154431,515105,
0028053,0000154431,515105,
0265500,,411010,
0963364,,221205,
0028649,0000154555,515105,
0026352,,411010,
0028088,0000154466,515105,
0029041,,411010,
0029041,0000154628,515105,
0029130,0000154768,515105,
0134252,,515205,
0266507,0000153516,515105,
0026352,0000154326,515105,
0028088,0000154466,515105,
0028088,0000154474,515140,
0028088,0000154474,515105,
0029068,,422105,
0265500,,422105,
0026352,0000154334,515105,
0029068,0000154644,515105,
0029130,0002414139,515105,
0134252,,515205,
0026360,,411010,
0000477,,411010,
0000426,,322605,
0000477,,411010,
0000477,,411010,
0000426,,322605,
0000655,,322205,
0000477,,322205,
0000477,,221205,
0000477,,411010,
0000477,,322205,
2427427,,322205,
0000477,,324205,
0000426,,322605,
0000477,,322205,
0000477,,322230,
0000426,,322230,
0000426,,322205,
0000426,,322230,
0000477,,322245,
0000477,,324205,
0000477,,322205,
0000426,,322230,
0000477,,411010,
0000426,,322205,
0000477,,324205,
0000477,,324120,
0000477,,324205,
0000426,,422105,
0000477,,322230,
0000426,,422105,
0000426,,422105,
2427427,,411010,
2679779,0000154806,515105,
2711613,,411010,
2427427,,325115,
2711613,,411010,
2427427,,325115,
2679779,0000154814,515105,
2711613,,324205,
0000671,,324205,
2679779,0000154822,515105,
2679779,0000154822,515105,
2679787,0000154830,515105,
2427427,,322205,
2427427,,411010,
2427427,,325115,
2679787,0000154849,515140,
2711427,,411010,
2427427,,322230,
2427427,,325115,
2711605,,411010,
2711605,,516220,
2637294,,322230,
3302032,0002400472,322245,
2637294,,411010,
2637294,,516220,
2711605,,422105,
2427427,,322230,
2637294,,516220,
2711605,,516220,
2711613,,411010,
2427427,,325115,
2637294,,516220,
2637294,,516220,
2711613,,324205,
2637294,,223905,
0001546,,223905,
0265500,,422105,
0026360,0000154350,515140,
0028096,0000154490,515105,
0000426,,322205,
0028096,0000154504,515105,
0000809,,322230,
0000817,0001471384,515105,
0000817,0001471384,515105,
0000965,0000152897,515105,
0001090,,422105,
0000809,,411010,
0000809,,515215,
0001058,,515140,
0001112,,515105,
7845367,0001591517,515140,
0001236,,515140,
0001236,0000153079,515105,
